group_id,program,calendar_year,program_type,year_level,requirement_area,option_id,option_name,option_name_raw,theme,is_recommended,label,credits,rule_type,rule_value,rule_subject,include_pattern,exclude_pattern,rule_unit,course_code,source_text
ENSC_2024_2025_MAJOR_001,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,BIOL_V 121 1,3.0,required_course,,,,,,BIOL121,BIOL_V 121 1
ENSC_2024_2025_MAJOR_002,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,BIOL_V 180 (or 140) 1,2.0,required_all,,,,,,BIOL140,BIOL_V 180 (or 140) 1
ENSC_2024_2025_MAJOR_002,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,BIOL_V 180 (or 140) 1,2.0,required_all,,,,,,BIOL180,BIOL_V 180 (or 140) 1
ENSC_2024_2025_MAJOR_003,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,,,,,CHEM111,CHEM_V 121 (or 111 or 141) 2
ENSC_2024_2025_MAJOR_003,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,,,,,CHEM121,CHEM_V 121 (or 111 or 141) 2
ENSC_2024_2025_MAJOR_003,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,,,,,CHEM141,CHEM_V 121 (or 111 or 141) 2
ENSC_2024_2025_MAJOR_004,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,CHEM_V 123 2,4.0,required_course,,,,,,CHEM123,CHEM_V 123 2
ENSC_2024_2025_MAJOR_006,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,DSCI_V 100,3.0,required_course,,,,,,DSCI100,DSCI_V 100
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,,,,,MATH100,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,,,,,MATH102,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,,,,,MATH104,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,,,,,MATH120,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,,,,,MATH180,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,,,,,MATH184,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4
ENSC_2024_2025_MAJOR_008,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,MATH_V 101 or 103 or 105 or 121 4,3.0,choose_n,1,,,,,MATH101,MATH_V 101 or 103 or 105 or 121 4
ENSC_2024_2025_MAJOR_008,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,MATH_V 101 or 103 or 105 or 121 4,3.0,choose_n,1,,,,,MATH103,MATH_V 101 or 103 or 105 or 121 4
ENSC_2024_2025_MAJOR_008,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,MATH_V 101 or 103 or 105 or 121 4,3.0,choose_n,1,,,,,MATH105,MATH_V 101 or 103 or 105 or 121 4
ENSC_2024_2025_MAJOR_008,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,MATH_V 101 or 103 or 105 or 121 4,3.0,choose_n,1,,,,,MATH121,MATH_V 101 or 103 or 105 or 121 4
ENSC_2024_2025_MAJOR_012,ENSC,2024-2025,Major,Second Year,Core Requirement,,,,,False,BIOL_V 230,3.0,required_course,,,,,,BIOL230,BIOL_V 230
ENSC_2024_2025_MAJOR_013,ENSC,2024-2025,Major,Second Year,Core Requirement,,,,,False,"Two of CHEM_V 205, 208, 210, 211, 233 8",6.0,choose_n,2,,,,,CHEM205,"Two of CHEM_V 205, 208, 210, 211, 233 8"
ENSC_2024_2025_MAJOR_013,ENSC,2024-2025,Major,Second Year,Core Requirement,,,,,False,"Two of CHEM_V 205, 208, 210, 211, 233 8",6.0,choose_n,2,,,,,CHEM208,"Two of CHEM_V 205, 208, 210, 211, 233 8"
ENSC_2024_2025_MAJOR_013,ENSC,2024-2025,Major,Second Year,Core Requirement,,,,,False,"Two of CHEM_V 205, 208, 210, 211, 233 8",6.0,choose_n,2,,,,,CHEM210,"Two of CHEM_V 205, 208, 210, 211, 233 8"
